row,created_at,ticker,headline,day_change_pct,momentum,momentum_conviction,value,value_conviction,risk,risk_conviction,weighted_committee_score,weighted_implied_action,pm_action,sentiment,confidence,risk_should_trade,execution_submitted,risk_gate_reason,verdict,severity_score,flags,pm_reasoning
11,2026-05-11 21:40:13.849356+00,BMO,"BMO Financial Group Signs A Definitive Agreement With Stonepeak For The Sale of BMO's Transportation Finance And Vendor Finance Businesses, Including Related Loan Portfolios In The U.S. And Canada; Co To Invest About 19.9% Equity Interest In New Entity; Transaction Is Not Expected To Have A Significant Impact On The Bank's Future Run Rate Earnings",0.12,NEUTRAL,0.8,NEUTRAL,0.9,BEARISH,0.7,-0.7,HOLD,HOLD,0.1,0.65,False,False,Portfolio Manager chose HOLD.,Minor concern,1,risk_manager_generic_macro_or_regulatory_risk,"The committee debate on BMO's strategic divestiture and partial investment in a new entity reveals a nuanced outlook. While two analysts take a neutral stance with high conviction scores (0.80 and 0.90), a risk manager expresses bearish concerns with a slightly lower conviction score (0.70). The key tension lies in balancing the neutral earnings impact with potential risks from economic downturns and regulatory changes. Given the high-conviction dissent from the risk manager, we adjust our confidence downward."
12,2026-05-11 21:40:10.487879+00,AKTS,"Aktis Oncology Q1 EPS $(0.38) Beats $(0.44) Estimate, Sales $3.227M Beat $1.750M Estimate",-1.88,BULLISH,0.85,NEUTRAL,0.65,BEARISH,0.75,0.1,HOLD,HOLD,0.05,0.58,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term momentum and long-term fundamental concerns. While the Momentum Trader sees a breakout catalyst in the earnings and sales beats, the Value Investor and Risk Manager express concerns about the lack of path to profitability and significant clinical trial risks. The high-conviction dissenters, particularly the Risk Manager at 0.75 and Momentum Trader at 0.85, weigh heavily on the confidence score, leading to a neutral stance."
13,2026-05-11 21:35:39.058563+00,EXOD,"Exodus Movement Q1 EPS $(1.08) Misses $(0.08) Estimate, Sales $22.747M Miss $24.000M Estimate",-5.16,BEARISH,0.8,BEARISH,0.9,NEUTRAL,0.7,-1.7,SELL,SELL,-0.8,0.78,False,False,Confidence did not clear the configured threshold.,Review,3,pm_directional_but_risk_gate_blocked; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a clear bearish consensus, with two analysts presenting strong bearish arguments and one analyst presenting a more neutral view. The key tension lies in the potential for a short squeeze or unexpected regulatory developments to challenge the current bearish expectations. However, the high conviction scores of the momentum trader (0.80) and value investor (0.90) suggest a strong negative sentiment, which outweighs the neutral view of the risk manager (0.70)."
14,2026-05-11 21:35:36.506389+00,AMTM,Amentum Holdings Affirms FY2026 Adj EPS Guidance of $2.25-$2.45 vs $2.41 Est; Affirms FY2026 Sales Guidance of $13.950B-$14.300B vs $14.122B Est,-2.28,NEUTRAL,0.8,NEUTRAL,0.9,BEARISH,0.7,-0.7,HOLD,HOLD,0.03,0.65,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the neutral to slightly positive views of the momentum trader and value investor, and the bearish perspective of the risk manager. While two analysts view the guidance affirmation as a sign of stability, the risk manager raises concerns about potential geopolitical and regulatory risks. Given the mixed views, with a high-conviction dissenter (none in this case above 0.8) and a generally neutral to slightly positive sentiment, the final trade decision leans towards holding the stock."
15,2026-05-11 21:31:04.731154+00,ITRG,"Integra Resources Q1 Adj. EPS $0.07 Misses $0.09 Estimate, Sales $61.724M Beat $59.880M Estimate",0.69,BEARISH,0.8,NEUTRAL,0.6,BEARISH,0.9,-1.7,SELL,HOLD,-0.3,0.56,False,False,Portfolio Manager chose HOLD.,Review,4,pm_action_differs_from_weighted_committee_SELL; value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between near-term earnings performance and long-term growth prospects. While the momentum trader and risk manager express bearish views with high conviction scores of 0.80 and 0.90, respectively, the value investor's neutral stance with a conviction score of 0.60 suggests that the situation requires closer examination. The EPS miss and potential macroeconomic risks are concerning, but the sales beat indicates potential for growth."
16,2026-05-11 21:31:02.435737+00,ERAS,Erasca Q1 EPS $(0.60) Misses $(0.22) Estimate,3.26,BEARISH,0.8,NEUTRAL,0.4,BEARISH,0.9,-1.7,SELL,HOLD,-0.5,0.65,False,False,Portfolio Manager chose HOLD.,Review,3,pm_action_differs_from_weighted_committee_SELL; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term momentum and long-term fundamental analysis. While the Momentum Trader and Risk Manager express bearish views with high conviction scores of 0.80 and 0.90, respectively, the Value Investor presents a more neutral perspective with a lower conviction score of 0.40. The high-conviction dissenters, particularly the Risk Manager, raise concerns about potential tail risks associated with Erasca's pipeline or regulatory environment. However, the Value Investor's cautious approach tempers the bearish views, suggesting that a one-quarter EPS miss should not necessarily imply a sharp downside continuation without evaluating the company's long-term growth prospects."
17,2026-05-11 21:30:59.096094+00,SKYX,"CORRECTION: SKYX Platforms Q1 EPS $(0.07), Inline, Sales $22.000M Beat $21.767M Estimate",-12.04,BEARISH,0.85,BEARISH,0.8,BEARISH,0.9,-2.55,SELL,SELL,-0.9,0.85,False,False,Confidence did not clear the configured threshold.,Review,3,pm_directional_but_risk_gate_blocked; risk_manager_generic_macro_or_regulatory_risk,"The committee debate reveals a consensus bearish view on SKYX, with all three analysts holding a bearish stance. The key tension lies in the balance between the immediate financials and potential regulatory risks. High-conviction dissent is absent, as all analysts agree on the bearish outlook, with the Risk Manager's conviction score of 0.90 being the highest. Given the unanimous bearish view and the significant price drop of -12.04%, I conclude that the downside momentum is likely to continue."
18,2026-05-11 21:28:06.05229+00,MVST,Microvast Stock Crashes After Q1 Earnings — What You Need To Know,-6.29,BEARISH,0.85,BEARISH,0.7,NEUTRAL,0.8,-1.55,SELL,SELL,-0.8,0.78,False,False,Confidence did not clear the configured threshold.,Review,3,pm_directional_but_risk_gate_blocked; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the immediate bearish reaction to the Q1 earnings miss and the potential for long-term resilience. While the Momentum Trader and Value Investor cite technical and fundamental reasons for further downside, the Risk Manager introduces a neutral perspective cautioning about overlooked risks such as supply chain disruptions. With conviction scores of 0.85, 0.70, and 0.80 respectively, the high-conviction dissenter (Momentum Trader) tips the scales towards a cautious stance."
19,2026-05-11 21:23:03.363835+00,GPRO,GoPro Stock Soars On Strategic Review: What Investors Need To Know About Potential Merger Or Sale,-2.9,BULLISH,0.8,NEUTRAL,0.6,BEARISH,0.7,0.1,HOLD,HOLD,0.23,0.63,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate on GoPro's strategic review and Q1 financials announcement highlights a key tension between the potential for short-term momentum and long-term viability concerns. While the momentum trader is bullish with a conviction score of 0.80, the value investor is neutral at 0.60, and the risk manager is bearish with a conviction score of 0.70. Weighing these scores, I acknowledge the bullish breakout potential but also consider the risks associated with a failed strategic review or regulatory hurdles."
20,2026-05-11 21:20:40.848427+00,PRSO,"CORRECTION: Peraso Q1 Adj. EPS $(0.20) Misses $(0.18) Estimate, Sales $963.000K Miss $975.000K Estimate",38.5,BEARISH,0.8,NEUTRAL,0.4,BEARISH,0.9,-1.7,SELL,SELL,-0.6,0.65,False,False,Directional sentiment did not clear the configured threshold.,Minor concern,2,pm_directional_but_risk_gate_blocked,"The committee debate highlights a key tension between the immediate negative impact of the earnings miss and the potential for a liquidity-driven downside move. While the Value Investor sees the earnings miss as not sufficient to alter their long-term thesis, the Momentum Trader and Risk Manager are more bearish, with the Risk Manager expressing high conviction (0.90) about the potential for a sharp decline due to liquidity risks. Weighing the high-conviction dissent of the Risk Manager, I lean towards a cautious approach."
21,2026-05-11 21:20:38.083924+00,SMTI,Sanara MedTech Affirms FY2026 Sales Guidance of $116.000M-$121.000M vs $117.300M Est,-1.56,BEARISH,0.8,NEUTRAL,0.6,BEARISH,0.9,-1.7,SELL,HOLD,-0.3,0.63,False,False,Portfolio Manager chose HOLD.,Review,3,pm_action_differs_from_weighted_committee_SELL; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the perceived stability of Sanara MedTech's affirmed FY2026 sales guidance and the potential risks associated with changes in healthcare policy or reimbursement rates. While the guidance affirmation aligns with market expectations, high-conviction dissenters, particularly the Risk Manager with a conviction score of 0.90, raise significant concerns about overlooked risks that could impact the company's financials. Weighing the bearish views of the Momentum Trader and Risk Manager, who together present a compelling case for caution, I decide to adopt a cautious stance."
22,2026-05-11 21:20:35.172554+00,BMEA,Biomea Fusion Q1 EPS $(0.17) Beats $(0.24) Estimate,0.97,BULLISH,0.78,NEUTRAL,0.45,BEARISH,0.82,-0.04,HOLD,HOLD,0.12,0.63,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term momentum and long-term financial risks. While the momentum trader (conviction=0.78) and value investor (conviction=0.45) see the EPS beat as a positive, the risk manager (conviction=0.82) warns of underlying financial risks and potential tail events. Given the high conviction scores of the bullish momentum trader and bearish risk manager, their views weigh heavily in the decision. The value investor's neutral stance is less impactful due to a lower conviction score. The debate suggests a cautious approach, as the short-term momentum may be countered by significant long-term risks."
23,2026-05-11 21:16:35.430527+00,LGL,"LGL Group Q1 EPS $(0.10), Sales $1.085M Beat $1.000M Estimate",-0.55,BULLISH,0.8,NEUTRAL,0.6,BEARISH,0.4,0.4,HOLD,HOLD,0.23,0.57,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term momentum and long-term fundamental concerns. While the Momentum Trader is bullish with a conviction score of 0.80, citing the potential for a breakout above recent highs, the Value Investor is neutral with a conviction score of 0.60, expressing concerns about the company's profitability and competitive position. The Risk Manager is bearish with a conviction score of 0.40, warning about potential risks associated with liquidity and financial health. Weighing these perspectives, I conclude that the earnings beat is a positive step, but the company's long-term fundamentals still need validation."
24,2026-05-11 21:16:31.946789+00,SMTI,"Sanara MedTech Q1 EPS $0.05 Beats $(0.04) Estimate, Sales $27.799M Beat $26.800M Estimate",-1.56,BULLISH,0.9,NEUTRAL,0.6,BEARISH,0.8,0.1,HOLD,HOLD,0.23,0.63,False,False,Portfolio Manager chose HOLD.,Minor concern,1,risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the short-term momentum and potential long-term risks in SMTI's stock. While the momentum trader and value investor focus on the positive Q1 earnings and sales beats, the risk manager emphasizes the potential regulatory and product liability risks inherent in the MedTech sector. Weighing the conviction scores, the high-conviction bullish momentum trader (0.90) and bearish risk manager (0.80) offset each other, while the neutral value investor (0.60) provides a more balanced perspective. Given this split, a cautious approach is warranted."
25,2026-05-11 21:16:29.343628+00,LIF,"Life360 Q1 EPS $0.03 Beats $(0.01) Estimate, Sales $143.123M Beat $137.311M Estimate",-1.76,BULLISH,0.8,NEUTRAL,0.4,BEARISH,0.6,0.2,HOLD,HOLD,0.23,0.53,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term momentum and long-term risks. While the momentum trader is bullish with a conviction of 0.80, the value investor is neutral with a conviction of 0.40, and the risk manager is bearish with a conviction of 0.60. The earnings beat is a positive, but concerns about sustainability, regulatory risks, and competition weigh on the stock. Given the mixed views, I will exercise caution and hold the stock."
26,2026-05-11 21:16:26.925582+00,OVV,"Ovintiv Q1 Adj. EPS $2.00 Beats $1.83 Estimate, Sales $2.532B Beat $2.430B Estimate",2.23,BULLISH,0.8,BULLISH,0.6,BEARISH,0.4,1.0,BUY,HOLD,0.33,0.58,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate on Ovintiv (OVV) highlights a key tension between the potential for sustained upward momentum driven by the earnings beat and the risks associated with commodity price volatility and regulatory changes. While two analysts are bullish, with the momentum trader showing high conviction (0.80), the risk manager presents a significant dissenting view, albeit with a lower conviction score (0.40). The bullish sentiment is tempered by the need to assess earnings quality and balance sheet strength. Given the mixed views, a cautious approach is warranted."
27,2026-05-11 21:16:23.523066+00,DAC,"Danaos Q1 Adj. EPS $6.72 Beats $6.69 Estimate, Sales $253.698M Beat $251.488M Estimate",-0.81,BEARISH,0.75,BULLISH,0.8,NEUTRAL,0.85,0.05,HOLD,HOLD,0.22,0.65,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term momentum and long-term fundamental analysis. While the momentum trader (BEARISH, 0.75) and risk manager (NEUTRAL, 0.85) express concerns about negative price action and global economic risks, the value investor (BULLISH, 0.80) emphasizes Danaos' strong Q1 fundamentals and balance sheet strength. The high-conviction dissenter, risk manager, and value investor suggest a nuanced view, leading to a moderate bullish sentiment and a confidence level that reflects the debate's split nature."
28,2026-05-11 21:10:43.400805+00,DPRO,"Draganfly Q1 EPS $(0.12) Misses $(0.10) Estimate, Sales $1.686M Miss $1.810M Estimate",1.28,BEARISH,0.8,NEUTRAL,0.6,BEARISH,0.9,-1.7,SELL,HOLD,-0.5,0.65,False,False,Portfolio Manager chose HOLD.,Review,3,pm_action_differs_from_weighted_committee_SELL; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term fundamental weakness and potential long-term resilience. While the momentum trader and risk manager express bearish views with high conviction scores (0.80 and 0.90, respectively), the value investor presents a more neutral perspective, emphasizing the need for a thorough assessment of the company's fundamentals. Weighing these views, I conclude that the bearish arguments outweigh the bullish ones, but the neutral perspective tempers the downside."
29,2026-05-11 21:10:40.482989+00,UEIC,Universal Electronics Affirms FY2026 Adj EPS Guidance of $0.45-$0.65 vs $0.35 Est.,-0.46,BULLISH,0.8,NEUTRAL,0.6,BEARISH,0.7,0.1,HOLD,HOLD,0.23,0.63,False,False,Portfolio Manager chose HOLD.,Minor concern,2,value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate on UEIC's affirmation of its FY2026 EPS guidance reveals a mixed outlook. While the Momentum Trader sees this as a bullish catalyst, the Value Investor remains neutral, citing the need for further details on earnings quality. The Risk Manager highlights potential tail risks. The key tension lies in balancing the potential for upward momentum against possible risks. With conviction scores of 0.80, 0.60, and 0.70, the weighted sentiment leans slightly bullish but with moderate confidence due to the split views."
30,2026-05-11 21:10:37.605935+00,BZFD,"BuzzFeed Q1 EPS $(0.40) Misses $(0.27) Estimate, Sales $31.572M Miss $35.079M Estimate",-12.22,BEARISH,0.9,BEARISH,0.8,NEUTRAL,0.6,-1.7,SELL,SELL,-0.87,0.78,False,False,Confidence did not clear the configured threshold.,Minor concern,2,pm_directional_but_risk_gate_blocked,"The committee debate highlights a strong bearish consensus, with the momentum trader and value investor presenting compelling arguments for a continued downtrend in BZFD. However, the risk manager's dissenting view introduces a key tension, suggesting that a short squeeze or market manipulation event could lead to a sudden price increase. Despite this, the high conviction scores of the bearish analysts (0.90 and 0.80) weigh heavily on the decision, leading to a cautious approach."
31,2026-05-11 21:10:34.64788+00,COOK,Traeger Affirms FY2026 Sales Guidance of $465.000M-$485.000M vs $472.684M Est,-5.42,BULLISH,0.66,BEARISH,0.78,BEARISH,0.92,-1.04,SELL,HOLD,-0.24,0.58,False,False,Portfolio Manager chose HOLD.,Review,4,pm_action_differs_from_weighted_committee_SELL; value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between short-term momentum and long-term fundamental concerns. While the momentum trader sees a potential rebound due to reaffirmed guidance, high-conviction dissenters (Value Investor and Risk Manager) express significant concerns about operational uncertainty, valuation, and potential recessionary impacts. The bearish views, particularly from the Risk Manager with a conviction of 0.92, suggest that the reaffirmed guidance may not be sufficient to outweigh deeper fundamental challenges."
32,2026-05-11 21:05:46.670868+00,TSX:KNT,"K92 Mining Q1 EPS $0.48 Misses $0.57 Estimate, Sales $236.280M Miss $314.688M Estimate",,BEARISH,0.8,NEUTRAL,0.4,BEARISH,0.9,-1.7,SELL,SELL,-0.6,0.7,False,False,Directional sentiment did not clear the configured threshold.,Minor concern,2,pm_directional_but_risk_gate_blocked,"The committee debate highlights a key tension between short-term price reaction and long-term fundamental analysis. While the momentum trader and risk manager express bearish views with high conviction scores (0.80 and 0.90, respectively), the value investor presents a more neutral stance with a lower conviction score (0.40). The earnings miss and potential commodity price risks weigh heavily on the committee's sentiment, leading to a slightly bearish consensus."
33,2026-05-11 21:05:44.416639+00,TSX:EIF,"Exchange Income Q1 Adj. EPS $0.61 Beats $0.37 Estimate, Sales $866.583M Beat $818.893M Estimate",,BULLISH,0.9,BULLISH,0.8,BEARISH,0.6,1.1,BUY,BUY,0.33,0.78,False,False,Directional sentiment did not clear the configured threshold.,Review,3,pm_directional_but_risk_gate_blocked; risk_manager_generic_macro_or_regulatory_risk,"The committee debate on TSX:EIF is split, with two bullish analysts and one bearish analyst. The key tension lies in balancing the strong earnings report's potential to drive short-term momentum against the risk of rising interest rates impacting long-term sustainability. The momentum trader and value investor both see the earnings beat as a positive indicator, while the risk manager highlights potential risks associated with debt levels and interest rate exposure."
34,2026-05-11 21:05:41.333189+00,TPG,Millennium Management Cuts Share Stake In TPG To 4.3% As Of March 31 From A Stake Of 6.2% As Of March 2,-2.31,BEARISH,0.8,NEUTRAL,0.4,BEARISH,0.9,-1.7,SELL,SELL,-0.7,0.65,False,False,Directional sentiment did not clear the configured threshold.,Review,4,pm_directional_but_risk_gate_blocked; value_analyst_used_technical_or_unsourced_market_claims; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the immediate implications of a significant investor reducing its stake in TPG and the potential long-term fundamentals of the company. While the Momentum Trader and Risk Manager express bearish views with high conviction scores of 0.80 and 0.90, respectively, the Value Investor presents a neutral perspective with a lower conviction score of 0.40. The high-conviction dissenters, particularly the Risk Manager, suggest that TPG's stock may be vulnerable to systemic risks in private equity and venture capital markets, which cannot be ignored."
35,2026-05-11 21:05:38.919749+00,PANL,"Pangaea Logistics Solns Q1 Adj. EPS $0.21 Beats $0.11 Estimate, Sales $170.580M Beat $168.177M Estimate",-1.66,BULLISH,0.8,BULLISH,0.6,BEARISH,0.4,1.0,BUY,HOLD,0.33,0.58,False,False,Portfolio Manager chose HOLD.,Minor concern,1,risk_manager_generic_macro_or_regulatory_risk,"The committee debate reveals a tension between bullish analysts citing the earnings beat and sales growth as a positive catalyst for PANL, and a bearish risk manager warning of potential global economic downturn and trade tensions. While the momentum trader and value investor are bullish, their conviction scores are not high enough to outweigh the risk manager's concerns. The high-conviction dissenter (momentum trader at 0.80) suggests a potential for a momentum-driven bounce, but the bearish risk manager's concerns about global economic risks lower my overall confidence."
36,2026-05-11 21:05:36.435435+00,TUYA,"Tuya Q1 Adj. EPS $0.03, Inline, Sales $80.882M Beat $80.669M Estimate",0.0,NEUTRAL,0.6,BEARISH,0.8,BEARISH,0.9,-1.7,SELL,HOLD,-0.2,0.6,False,False,Portfolio Manager chose HOLD.,Review,3,pm_action_differs_from_weighted_committee_SELL; risk_manager_generic_macro_or_regulatory_risk,"The committee debate highlights a key tension between the momentum trader's neutral view and the bearish perspectives of the value investor and risk manager. While the earnings report was largely inline with expectations, high-conviction dissenters raise concerns about Tuya's valuation and potential tail risks, particularly related to US-China trade tensions. These concerns outweigh the marginal sales beat and inline EPS, leading to a cautious stance."
